Moneda,Siglas,Precio,Cambio 1 h,Cambio 24 h,Cambio 7 d,Volumen en 24 horas,Cap. de mercado,FDV,Cap merc/FDV,Cluster,Grupo
Globiance Exchange,GBEX,0.0,0.4,-5.4,-27.9,195752,28551923,37731563,076,0,0
INSTAR,INSTAR,0.02,0.0,0.0,0.0,0,28520817,0,-,0,0
LooksRare,LOOKS,0.05,-0.2,-2.7,-7.6,2022663,28329630,51995611,054,0,0
sETH,SETH,1839.85,0.1,0.2,-0.5,992,28274573,28274573,100,0,0
R,R,0.99,0.0,0.0,-0.2,4585531,28225910,28225910,100,0,0
Steem Dollars,SBD,2.28,-0.3,-0.8,-1.8,709178,28190321,0,-,0,0
Lybra Finance,LBR,2.11,-5.2,-12.0,84.3,4576019,28170717,210864596,013,0,0
Adshares,ADS,0.72,-0.4,-1.1,-7.3,266200,28109744,28114234,100,0,0
FC Barcelona Fan Token,BAR,2.68,-0.5,-1.9,-2.5,2361596,27944343,106921579,026,0,0
Measurable Data,MDT,0.05,0.1,-0.0,1.6,4283415,27704812,45693403,061,0,0
Phoenix,PHB,0.63,0.3,-4.3,7.8,5846183,27669188,27669188,100,0,0
WAGMI Games,WAGMIGAMES,0.0,1.4,-0.6,-6.3,513659,27643301,33700524,082,0,0
CargoX,CXO,0.17,0.0,-1.0,-0.5,27677,27625175,35550940,078,0,0
Ampleforth Governance,FORTH,2.9,-0.2,0.1,-1.3,5802912,27617897,44403189,062,0,0
League of Kingdoms,LOKA,0.24,-0.9,-3.3,0.3,2392677,27572628,43671413,063,0,0
DIA,DIA,0.25,-0.5,-2.4,-1.1,5582730,27562824,49834426,055,0,0
Cudos,CUDOS,0.0,-1.8,26.7,43.1,1100763,27366845,45341300,060,0,0
GXChain,GXC,0.36,1.4,17.5,13.6,1816422,27316909,36422546,075,0,0
BarnBridge,BOND,2.92,-0.8,-2.4,0.4,1865460,27297488,29363849,093,0,0
Alpha Quark,AQT,1.02,-0.3,-1.3,1.6,992456,27234158,30668193,089,0,0
Hydranet,HDN,0.16,-0.6,7.6,63.3,180906,27223123,47320468,058,0,0
BitShares,BTS,0.01,-0.2,0.6,0.7,924992,27096312,35998202,075,0,0
Lyra Finance,LYRA,0.06,0.0,-0.9,4.8,1971373,26879179,63525926,042,0,0
Beefy,BIFI,335.18,-0.4,-3.0,2.1,207993,26811815,26811815,100,0,0
Cornucopias,COPI,0.03,-0.0,-5.0,-6.5,290913,26797556,132026480,020,0,0
The Virtua Kolect,TVK,0.02,-0.2,-2.3,-0.9,2863564,26733916,29861095,090,0,0
LTO Network,LTO,0.06,0.0,-4.6,-1.9,2585565,26680556,31907999,084,0,0
Keep3rV1,KP3R,54.14,-0.4,-0.6,1.5,1948428,26542610,26542610,100,0,0
H2O Dao,H2O,0.12,0.0,-0.1,-1.4,175963,26396714,117286265,023,0,0
Enzyme,MLN,18.04,-0.0,0.4,1.0,177424,26239044,42766431,061,0,0
MAI,MIMATIC,0.95,-0.0,-0.1,-0.1,325745,26158407,289759377,009,0,0
